Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-03 16:30:00,139.63,140.19,139.63,140.1,175.958,1754239499999,24647.16427000,126,99.56000000,13947.10037000,0
2025-08-03 16:45:00,140.14,140.5,140.09,140.38,394.21,1754240399999,55298.42937000,216,157.88100000,22138.52390000,0
2025-08-03 17:00:00,140.47,140.89,140.16,140.75,590.385,1754241299999,82915.10441000,280,240.81900000,33852.99932000,0
2025-08-03 17:15:00,140.79,140.79,140.07,140.21,81.096,1754242199999,11380.88971000,86,50.78700000,7126.47053000,0
2025-08-03 17:30:00,140.16,140.56,140.06,140.07,244.841,1754243099999,34366.37401000,126,155.93200000,21893.28197000,0
2025-08-03 17:45:00,140.11,140.4,140.07,140.4,281.028,1754243999999,39407.83654000,180,207.32300000,29072.89274000,0
2025-08-03 18:00:00,140.42,140.43,140.03,140.03,214.347,1754244899999,30055.64137000,138,63.60500000,8919.43573000,0
2025-08-03 18:15:00,140.02,140.35,139.75,140.22,620.446,1754245799999,86845.80717000,248,439.10400000,61464.06166000,0
2025-08-03 18:30:00,140.1,140.28,139.69,139.93,659.106,1754246699999,92213.02602000,215,339.78700000,47553.31987000,0
2025-08-03 18:45:00,140.0,140.45,140.0,140.21,180.745,1754247599999,25333.54281000,156,137.53900000,19276.97932000,0
2025-08-03 19:00:00,140.27,140.39,139.68,139.77,277.978,1754248499999,38885.62756000,216,162.40500000,22718.85734000,0
2025-08-03 19:15:00,139.8,140.66,139.8,140.51,257.375,1754249399999,36090.18876000,123,198.93700000,27888.46445000,0
2025-08-03 19:30:00,140.54,140.74,140.11,140.11,188.655,1754250299999,26519.09450000,151,107.34000000,15088.90861000,0
2025-08-03 19:45:00,140.15,140.3,139.67,139.84,253.14,1754251199999,35404.61949000,171,67.59000000,9461.26061000,0
2025-08-03 20:00:00,139.86,139.89,139.07,139.12,543.297,1754252099999,75783.44739000,219,43.63600000,6080.20814000,0
2025-08-03 20:15:00,139.16,139.46,139.06,139.38,273.647,1754252999999,38121.68424000,158,175.31400000,24420.27954000,0
2025-08-03 20:30:00,139.28,139.5,139.15,139.39,120.828,1754253899999,16831.13523000,114,68.44200000,9532.67325000,0
2025-08-03 20:45:00,139.39,139.71,139.39,139.61,120.626,1754254799999,16831.91465000,99,87.02600000,12142.84537000,0
2025-08-03 21:00:00,139.61,139.77,139.37,139.77,766.177,1754255699999,106957.38580000,416,345.59800000,48240.44847000,0
2025-08-03 21:15:00,139.77,139.9,139.47,139.78,658.641,1754256599999,92046.33145000,416,407.24100000,56914.82486000,0
2025-08-03 21:30:00,139.8,139.92,139.53,139.73,411.617,1754257499999,57526.04676000,186,56.80400000,7938.95635000,0
2025-08-03 21:45:00,139.61,140.05,139.58,139.92,152.02,1754258399999,21268.21306000,101,106.33800000,14877.82604000,0
2025-08-03 22:00:00,139.9,140.24,139.12,139.38,272.678,1754259299999,38056.57733000,187,145.87700000,20382.07379000,0
2025-08-03 22:15:00,139.35,139.39,139.08,139.37,427.406,1754260199999,59492.21995000,136,219.73300000,30588.61046000,0
2025-08-03 22:30:00,139.33,139.9,139.32,139.88,110.229,1754261099999,15390.22970000,104,22.73100000,3176.48096000,0
2025-08-03 22:45:00,139.78,140.1,139.76,139.92,149.069,1754261999999,20864.73118000,123,91.19700000,12766.95970000,0
2025-08-03 23:00:00,139.95,140.47,139.8,140.47,674.118,1754262899999,94500.78418000,279,264.71800000,37107.32376000,0
2025-08-03 23:15:00,140.41,140.96,140.34,140.39,573.466,1754263799999,80609.55458000,271,388.43900000,54609.22260000,0
2025-08-03 23:30:00,140.46,140.46,139.79,139.83,95.838,1754264699999,13429.46500000,86,54.88900000,7691.36349000,0
2025-08-03 23:45:00,139.79,139.96,139.73,139.89,227.296,1754265599999,31786.04338000,106,98.08700000,13718.38879000,0
2025-08-04 00:00:00,139.94,139.98,139.58,139.8,338.91,1754266499999,47366.81347000,213,145.48500000,20333.21143000,0
2025-08-04 00:15:00,139.7,141.07,139.7,141.02,286.662,1754267399999,40256.26366000,190,210.07200000,29492.26592000,0
2025-08-04 00:30:00,140.99,141.87,140.84,141.87,585.222,1754268299999,82664.50564000,300,426.90400000,60282.85716000,0
2025-08-04 00:45:00,141.88,142.52,141.76,142.44,547.118,1754269199999,77680.77988000,241,204.02000000,28994.20389000,0
2025-08-04 01:00:00,142.44,142.81,141.96,142.05,527.078,1754270099999,75045.75802000,215,121.94900000,17368.45546000,0
2025-08-04 01:15:00,141.96,142.38,141.77,142.09,320.375,1754270999999,45540.24360000,118,265.81400000,37793.27521000,0
2025-08-04 01:30:00,142.16,142.48,141.81,141.86,787.73,1754271899999,111925.01750000,454,532.50500000,75652.11081000,0
2025-08-04 01:45:00,141.85,141.92,141.12,141.28,565.175,1754272799999,79966.21242000,212,326.20700000,46178.64887000,0
2025-08-04 02:00:00,141.33,141.4,140.65,140.73,244.118,1754273699999,34415.92749000,122,89.60300000,12650.53301000,0
2025-08-04 02:15:00,140.82,141.32,140.8,141.2,122.941,1754274599999,17339.41320000,81,79.03600000,11151.99144000,0
2025-08-04 02:30:00,141.19,141.51,141.03,141.18,51.651,1754275499999,7295.61363000,57,19.00100000,2684.86521000,0
2025-08-04 02:45:00,141.18,142.03,141.18,141.95,135.347,1754276399999,19184.45840000,66,84.05700000,11915.35307000,0
2025-08-04 03:00:00,142.02,142.07,141.55,141.56,271.841,1754277299999,38541.81085000,191,100.19500000,14199.07442000,0
2025-08-04 03:15:00,141.56,141.56,141.03,141.06,259.707,1754278199999,36710.52978000,134,77.94200000,11015.96039000,0
2025-08-04 03:30:00,141.03,141.24,140.73,141.24,140.501,1754279099999,19816.39196000,87,123.63200000,17438.79598000,0
2025-08-04 03:45:00,141.23,141.23,140.85,140.85,21.173,1754279999999,2985.07987000,24,6.78700000,957.29435000,0
